日期,開盤價,最高價,最低價,收盤價,漲跌,漲幅(%),振幅(%),成交量,成交筆數,成交金額(千),均張,成交量變動(%),均張變動(%),股本(百萬),總市值(億),市值比重(%),本益比,股價淨值比,本益比(近四季),週轉率(%),成交值比重(%),漲跌停,成交量(股)
2021/06/11,125.2,125.9,125.2,125.45,0.7,0.56,0.56,888,209,111474,4.2,0.23,100,530,66.5,- -,- -,- -,- -,1.68,0.027,0,888000
2021/06/10,123.1,125,123.1,124.75,2.15,1.75,1.55,886,427,110334,2.1,20.54,-12.5,530,66.1,- -,- -,- -,- -,1.67,0.027,0,886009
2021/06/09,123.35,123.55,122.55,122.6,-1,-0.81,0.81,735,306,90352,2.4,8.73,-25,530,65,- -,- -,- -,- -,1.39,0.022,0,735136
2021/06/08,124,124.55,123.6,123.6,-0.4,-0.32,0.77,676,210,83895,3.2,-18.06,77.78,530,65.5,- -,- -,- -,- -,1.28,0.024,0,676711
2021/06/07,123.95,124.4,122,124,0.05,0.04,1.94,825,465,102322,1.8,3.13,-28,530,65.7,- -,- -,- -,- -,1.56,0.021,0,825021
2021/06/04,124,124,123.5,123.95,-0.55,-0.44,0.4,800,316,99186,2.5,-15.07,-3.85,530,65.7,- -,- -,- -,- -,1.51,0.022,0,800523
2021/06/03,124.85,125.35,124.5,124.5,0.4,0.32,0.68,942,366,117733,2.6,91.46,85.71,530,66,- -,- -,- -,- -,1.78,0.024,0,942187
2021/06/02,125.25,125.6,123.8,124.1,-1,-0.8,1.44,492,343,61388,1.4,-39.63,-36.36,530,65.8,- -,- -,- -,- -,0.93,0.011,0,492797
2021/06/01,125.45,126,125,125.1,0.05,0.04,0.8,815,376,102140,2.2,-12.27,22.22,510,63.8,- -,- -,- -,- -,1.6,0.022,0,815292
2021/05/31,124.1,125.35,123.55,125.05,1.55,1.26,1.46,929,510,116053,1.8,-14.14,-5.26,510,63.8,- -,- -,- -,- -,1.82,0.021,0,929291
2021/05/28,122.5,123.7,122.3,123.5,2.2,1.81,1.15,1082,580,133512,1.9,37.48,-13.64,510,63,- -,- -,- -,- -,2.12,0.027,0,1082726
2021/05/27,120.9,121.3,120.1,121.3,-0.7,-0.57,0.98,787,366,95154,2.2,-11.97,0,510,61.9,- -,- -,- -,- -,1.54,0.018,0,787404
2021/05/26,122.8,123,121.45,122,0,0,1.27,894,406,109271,2.2,-19.17,29.41,510,62.2,- -,- -,- -,- -,1.76,0.025,0,894598
2021/05/25,120.45,122.45,120.45,122,2.8,2.35,1.68,1106,643,134793,1.7,41.98,-32,510,62.2,- -,- -,- -,- -,2.17,0.025,0,1106428
2021/05/24,118.25,119.95,118.05,119.2,0.05,0.04,1.59,779,310,93033,2.5,-26.99,19.05,510,60.8,- -,- -,- -,- -,1.53,0.022,0,779959
2021/05/21,119.15,120.5,118.75,119.15,1.6,1.36,1.49,1067,510,127267,2.1,28.55,-4.55,510,60.8,- -,- -,- -,- -,2.09,0.029,0,1067612
2021/05/20,118.85,118.85,117.3,117.55,-1.15,-0.97,1.31,830,383,97700,2.2,0.85,4.76,510,60,- -,- -,- -,- -,1.63,0.02,0,830246
2021/05/19,119,119.65,118,118.7,-0.8,-0.67,1.38,823,389,97728,2.1,-34.32,31.25,510,60.5,- -,- -,- -,- -,1.62,0.022,0,823413
2021/05/18,116.1,119.5,115.45,119.5,5.9,5.19,3.57,1253,761,148097,1.6,-3.09,33.33,510,60.9,- -,- -,- -,- -,2.43,0.036,0,1253358
2021/05/17,112,116.1,111.9,113.6,-2.55,-2.2,3.62,1293,1093,147443,1.2,3.61,-29.41,505,57.4,- -,- -,- -,- -,2.57,0.03,0,1293512
2021/05/14,116.5,117.55,115.2,116.15,1.75,1.53,2.05,1248,714,144880,1.7,-8.77,21.43,505,58.7,- -,- -,- -,- -,2.47,0.028,0,1248317
