"2021/03/23 Stock P/E ratio, dividend yield and P/B ratio"
"Security Code","Dividend yield (%)","Dividend year","P/E ratio","P/B ratio","Fiscal year / quarter",
"2302","0.00","2019","420.00","2.13","2020/3",
"2303","1.65","2019","20.64","2.55","2020/4",
"2329","0.92","2019","-","1.58","2020/4",
"2330","1.60","2019","29.74","8.33","2020/4",
"2337","2.71","2019","15.31","2.25","2020/4",
"2338","1.55","2019","42.78","4.46","2020/3",
"2342","0.00","2019","-","3.09","2020/3",
"2344","0.35","2019","86.06","1.73","2020/4",
"2351","2.26","2019","41.41","2.55","2020/4",
"2363","9.43","2019","-","1.00","2020/3",
"2369","0.00","2019","-","1.19","2020/4",
"2379","2.40","2019","29.97","8.52","2020/3",
"2388","0.00","2019","5.33","2.71","2020/4",
"2401","0.97","2019","134.35","2.23","2020/3",
"2408","1.64","2019","36.68","1.83","2020/4",
"2434","0.00","2019","-","2.52","2020/4",
"2436","2.94","2019","26.29","2.82","2020/4",
"2441","3.38","2019","14.55","2.15","2020/4",
"2449","4.31","2019","14.06","1.74","2020/4",
"2451","7.06","2019","22.83","1.46","2020/4",
"2454","1.21","2019","42.36","4.07","2020/3",
"2458","3.56","2019","16.38","5.88","2020/4",
"2481","1.98","2019","20.87","2.67","2020/3",
"3006","1.05","2019","24.07","3.13","2020/4",
"3014","3.53","2019","16.08","3.13","2020/4",
"3016","0.35","2019","788.89","4.91","2020/4",
"3034","1.97","2019","27.45","8.12","2020/4",
"3035","2.15","2019","47.31","2.02","2020/4",
"3041","0.00","2019","-","1.82","2020/4",
"3054","0.00","2019","-","1.96","2020/4",
"3094","2.15","2019","93.17","2.99","2020/4",
"3189","1.10","2019","75.58","1.59","2020/4",
"3257","3.51","2019","25.14","3.86","2020/4",
"3413","1.76","2019","15.27","3.44","2020/4",
"3443","1.25","2019","63.01","11.93","2020/4",
"3530","1.73","2019","31.64","4.04","2020/4",
"3532","2.56","2019","40.50","2.60","2020/4",
"3536","0.00","2019","-","2.85","2020/3",
"3545","0.33","2019","62.81","4.38","2020/3",
"3583","2.99","2019","17.58","1.89","2020/4",
"3588","1.35","2019","77.08","2.67","2020/3",
"3661","0.39","2019","73.43","14.70","2020/3",
"3686","0.00","2019","-","2.55","2020/4",
"3711","1.85","2019","16.74","2.11","2020/4",
"4919","2.69","2019","31.44","1.46","2020/4",
"4952","3.67","2019","18.94","2.53","2020/4",
"4961","0.37","2019","163.64","10.60","2020/3",
"4967","1.91","2019","38.13","2.57","2020/3",
"4968","0.33","2019","41.94","16.63","2020/4",
"5269","0.80","2019","35.58","7.39","2020/4",
"5285","3.36","2019","53.50","2.93","2020/4",
"5471","2.24","2019","15.32","4.03","2020/4",
"6202","4.56","2019","19.50","4.53","2020/4",
"6239","4.33","2019","11.35","1.81","2020/3",
"6243","0.00","2019","-","3.44","2020/4",
"6257","4.19","2019","12.71","1.78","2020/4",
"6271","1.23","2019","24.51","1.68","2020/4",
"6415","0.34","2019","62.62","11.39","2020/4",
"6451","2.96","2019","19.59","2.28","2020/3",
"6515","3.17","2019","20.18","7.12","2020/3",
"6525","4.24","2019","15.56","2.77","2020/4",
"6531","0.13","2019","70.56","18.45","2020/4",
"6533","0.07","2019","602.44","17.62","2020/4",
"6552","2.95","2019","27.67","2.74","2020/3",
"6573","0.00","2019","-","1.09","2020/3",
"6756","1.23","2019","56.99","6.94","2020/4",
"8016","2.82","2019","19.97","4.17","2020/4",
"8028","3.66","2019","53.53","3.13","2020/4",
"8081","3.87","2019","15.85","3.65","2020/4",
"8110","0.00","2019","20.62","0.62","2020/3",
"8131","5.49","2019","12.63","1.50","2020/4",
"8150","4.08","2019","13.57","1.54","2020/4",
"8261","0.90","2019","22.79","2.83","2020/4",
"8271","5.97","2019","14.83","1.53","2020/4",
""
