rd,sales,profits,rdintens,profmarg,salessq,lsales,lrd
430.6000061,4570.200195,186.8999939,9.421906471,4.08953619,20886730,8.427311897,6.065179825
59,2830,467,2.084805727,16.5017662,8008900,7.948031902,4.077537537
23.5,596.7999878,107.4000015,3.937667608,17.99597931,356170.2188,6.391582012,3.157000303
3.5,133.6000061,-4.300000191,2.619760275,-3.218562841,17848.96094,4.894850254,1.252762914
1.700000048,42,8,4.047619343,19.04761887,1764,3.737669706,0.530628264
8.399999619,390,47.29999924,2.153846025,12.1282053,152100,5.966146946,2.128231764
2.5,93.90000153,0.899999976,2.662406683,0.958466411,8817.209961,4.542230606,0.91629076
39.90000153,907.9000244,77.40000153,4.394757271,8.525167465,824282.4375,6.811134338,3.686376333
1136,19773,2563,5.745208263,12.96212006,390971520,9.892072678,7.035268784
1428,39709,4154,3.596162081,10.46110439,1576804736,10.58933353,7.26402998
45.29999924,2936.5,93.69999695,1.542652845,3.190873384,8623032,7.984973907,3.813307047
65.19999695,2513.800049,355.3999939,2.593682766,14.13795757,6319190.5,7.829550743,4.17745924
20.29999924,1124.800049,45.29999924,1.804765105,4.027382374,1265175.125,7.025360584,3.010620832
15.60000038,921.5999756,4.099999905,1.692708373,0.444878459,849346.5,6.826111317,2.747270823
74,2432.600098,132.3999939,3.042012453,5.442735672,5917543,7.796715736,4.304065228
147.5,6754,329,2.183891058,4.87118721,45616516,8.817890167,4.993828297
29.20000076,1066.300049,289.8999939,2.738441229,27.18746948,1136995.75,6.971950054,3.374168634
92.19999695,3199.899902,163.1999969,2.881340027,5.100159645,10239359,8.070875168,4.523960114
3.700000048,150,32.59999847,2.466666698,21.73333168,22500,5.010635376,1.308332801
19.39999962,509.7000122,83.80000305,3.806160212,16.44104385,259794.1094,6.233822346,2.965273142
74.40000153,1452.699951,271.2000122,5.121498108,18.66868782,2110337.25,7.281178951,4.309455872
612,8995,809,6.803780079,8.99388504,80910024,9.104424477,6.416732311
45.29999924,1212.300049,215,3.736698627,17.73488426,1469671.375,7.100274563,3.813307047
11,906.5999756,154.8000031,1.213324547,17.07478523,821923.5,6.809701443,2.397895336
66,2592,116,2.546296358,4.475308418,6718464,7.860185146,4.189654827
10.39999962,201.5,23,5.161290169,11.41439247,40602.25,5.305789471,2.341805696
48.90000153,2617.800049,60.5,1.867980719,2.31110096,6852877,7.870089531,3.889777422
6.099999905,502.2000122,18.39999962,1.214655519,3.663878679,252204.8594,6.218998432,1.808288813
178.1999969,2824,313,6.310198307,11.08356953,7974976,7.9459095,5.182906628
3,292.2000122,6.400000095,1.026694059,2.190280676,85380.84375,5.677438736,1.098612309
191,7621,626,2.506232738,8.214144707,58079640,8.938662529,5.25227356
26,1631.5,105.8000031,1.593625546,6.484829903,2661792.25,7.397254944,3.258096457
