beta_hml,beta_mk,beta_mom,beta_smb,firmcode,industry,logv,sigma,skewness,region
0.002111333,0.87766139,0.087371195,-0.005359434,600000,17,10.12539582,0.4166878,-0.10648476,17
-0.011913697,0.60754161,0.10520505,0.010021175,600001,9,9.987034498,0.53606644,0.99238886,30
0.004652205,1.1559257,0.025732828,-0.009099774,600002,14,8.621410314,0.45996424,0.49229596,6
-0.003235327,0.74239446,0.10675194,0.016513616,600003,14,8.469751858,0.52123635,1.5523593,26
0.000926506,0.55077488,0.042473005,0.002473417,600004,9,9.037124504,0.45861464,-1.5856713,4
0.008074308,0.88920551,0.10071044,-5.37E-05,600005,10,10.66838695,0.59629414,-0.36166202,4
0.003519848,0.51955637,0.14384636,0.014077739,600006,19,9.423333219,0.52067322,0.10629572,2
0.002235919,0.67043355,0.097808003,0.006954651,600007,19,8.070808115,0.5011299,0.82208841,2
0.010478903,0.73178043,0.098401297,0.009898546,600008,14,9.400894035,0.50267722,-0.087082271,17
0.009928031,0.52194463,0.058963727,-0.000633232,600009,9,9.032113576,0.43632128,-0.90731783,10
-0.002966734,0.8190266,0.1057238,0.013322601,600010,12,10.41337658,0.51728528,0.53393039,2
0.022773373,0.51374072,0.059720725,0.00167457,600011,14,9.272930214,0.63391285,1.0022146,1
0.008011084,0.70678385,0.002232137,0.007976485,600012,17,8.999691326,0.80666287,5.8917426,2
0.008775573,0.52401417,0.12720553,-0.006794624,600015,17,10.56717696,0.56285188,0.18700513,2
0.004632587,0.89589384,0.052415528,-0.005834614,600016,14,11.17725348,0.36700245,-0.13616927,14
0.010623069,0.56802727,0.052158848,0.008069867,600017,14,9.686329801,0.88137744,1.3094985,17
0.010439091,0.82044596,0.079021792,0.009635857,600018,9,10.83192719,0.51260093,0.16280868,17
0.001544619,0.84259741,0.05203649,-0.000823419,600019,14,10.95783164,0.46744461,-0.66604004,31
-0.000597587,0.48744848,0.067314859,0.00801841,600020,12,9.488542325,0.45819898,0.14551,17
-0.001105196,0.63630732,0.072164416,0.016120792,600021,9,9.101881851,0.50736504,-0.1285638,14
0.000867839,0.98591905,0.091807578,0.009014977,600022,14,9.526084326,0.6436001,-0.60259295,17
0.008199328,1.0476132,0.016664752,0.001290253,600026,12,9.47948269,0.53399818,-0.54253445,14
-0.012032921,0.96645907,0.015431124,0.029597802,600027,2,9.977316286,1.0498536,2.3806446,2
0.00857156,0.76370453,0.055742031,-0.009984652,600028,14,11.03058481,0.45437479,-0.50060311,26
0.000724811,0.7438333,0.15418194,0.015134659,600029,17,10.48049609,0.7073724,0.14596277,26
-0.008556539,1.3074961,0.066549116,-0.003338545,600030,10,10.74730286,0.59865819,0.18401552,5
-0.005957244,0.9086851,0.12260276,0.003537142,600031,14,8.756922248,0.73098856,0.028222198,13
0.001947809,0.45333962,0.038174501,0.00221341,600033,14,9.292369751,0.42527352,0.31662119,4
0.054712201,0.81396453,-0.018352843,0.007812617,600035,17,9.063727121,0.8678283,4.3280404,26
0.000694682,0.90955998,0.016533055,-0.009163105,600036,20,10.87526875,0.42980633,0.019915908,2
0.014929478,0.48675998,0.11823679,-0.004210337,600037,10,8.855581434,0.78826687,3.8872013,3
-0.004315275,0.5944955,0.074118164,0.026747164,600038,13,7.390001103,0.72410084,0.99771393,18
0.020038957,0.69202744,0.058328825,0.032621191,600039,18,8.953663447,0.71156049,0.87273546,26
-0.007694902,0.66047349,0.098970531,0.001997958,600048,15,9.830010428,0.73391305,-0.081469813,17
-0.000286257,0.66951813,0.062758528,-0.002679945,600050,21,11.95623284,0.46942172,0.10174673,23
0.005138324,0.5303385,0.138253,0.021381094,600051,18,7.867570565,0.57540618,0.47253255,23
0.009365036,1.0738434,0.20371671,0.011163102,600052,18,8.580676537,0.70417177,0.85986423,8
0.007168135,1.0827114,0.16521994,0.021827339,600053,19,7.807880124,0.73631798,1.0350344,1
0.007386543,0.42096953,0.078635938,0.004535713,600054,10,7.378101225,0.45340787,0.40659527,2
0.014376881,0.60890938,0.15065707,0.020337299,600055,16,7.628098424,0.66021396,0.60446925,2
0.005668183,0.90697315,0.093037756,0.019285036,600056,8,7.56865046,0.57656483,0.63697239,13
0.005630869,0.60796314,0.1352332,0.034103269,600057,16,8.454409609,0.76793529,0.026997229,2
0.003371842,0.29248824,0.120751,0.004787009,600058,3,8.962320659,0.81995897,-0.27269516,23
0.009107073,0.12124447,0.18573388,0.004461546,600059,8,8.382194506,0.64121443,-0.022125076,14
-0.001465458,0.53536075,0.11618502,0.009297352,600060,7,8.4521254,0.54029714,0.15094404,17
-0.003226247,0.73757664,0.10877154,0.021003234,600061,11,8.406107988,0.61958953,-0.007383544,2
0.003679907,0.28156086,0.12425155,0.006063787,600062,7,7.881186887,0.64519407,-0.82003552,1
0.015323945,0.67929913,0.14390696,0.010700914,600063,18,8.260875307,0.6387184,0.75717958,7
-0.001431825,0.97225258,0.12414754,0.009738109,600064,10,8.150201354,0.48568053,0.47143407,31
0.014186473,0.59935745,0.11044631,-0.003435266,600066,10,7.912574337,0.42818244,-0.363264,13
0.010593345,0.78281412,0.10507502,0.01719126,600067,13,8.581620363,0.68031951,0.87550294,4
-0.001391257,0.72237887,0.15921804,0.013035,600068,6,9.253832622,0.62222467,2.1084899,31
0.009856741,0.83116871,0.10149728,0.022281434,600069,4,8.739494148,0.63444507,-0.26818106,23
-0.007032878,0.67236034,0.1221045,0.018901853,600070,10,7.668339027,0.64635818,0.94910595,8
0.013467623,0.66795698,0.097675589,0.021770602,600071,10,8.273777185,0.63561736,-0.065268318,17
-0.006431793,0.95307821,0.16277474,0.017899914,600072,3,8.474681854,0.78417315,0.98521934,17
-0.009170392,0.73266442,0.053500753,0.022781504,600073,7,8.612640198,0.68879607,-0.17794797,7
-0.003991568,0.79535547,0.084933142,0.016394322,600074,1,9.051583065,0.54450989,-0.052860999,21
0.003075663,0.77833106,0.075593614,0.01339972,600075,15,8.632374731,0.59484856,-0.55983327,14
0.005488944,0.76530479,0.12881954,0.03565975,600076,15,8.367532068,0.79100006,0.35643069,9
-0.012531181,0.94214488,0.099880272,0.026100031,600077,7,7.718540018,0.66783827,0.3839537,7
0.006360175,0.91808446,0.011934826,0.024097697,600078,21,8.947220887,0.64009546,-0.3577158,4
0.00407485,0.64101315,0.13772645,0.022335886,600079,11,8.553026424,0.61266783,0.34135508,16
-0.000531094,0.70806803,0.12655839,0.024286973,600080,10,8.200442504,0.59767282,0.35396454,17
-9.96E-05,0.71320263,0.16775427,0.024200717,600081,18,7.954217275,0.84772207,1.3044219,19
-0.006793186,0.93241563,0.082116858,0.022139137,600082,8,8.279437044,0.59582279,0.55270874,26
0.022201202,1.1833898,0.027946311,0.027734412,600083,16,7.827831796,0.65380268,0.53484246,21
0.002243029,0.5661239,0.21756437,0.021535494,600084,11,8.335417374,0.79807767,0.49492986,2
0.020281656,0.34325479,0.052611286,0.003925763,600085,4,7.982671418,0.46468592,0.70796659,4
0.025664032,0.76659151,0.14310129,0.023268377,600086,14,8.464401217,0.74939027,-0.3327307,7
0.016773392,0.67174957,0.083976442,0.011170576,600087,20,9.076500818,0.57215966,-0.51032176,17
0.005163101,0.879378,0.053929365,0.017749593,600088,10,8.067666221,0.6473839,-0.53858748,21
0.002950849,0.64596356,0.10642595,0.011097622,600089,3,8.962756077,0.60947555,1.0846507,21
0.029125311,0.71578557,0.074621701,0.023716025,600090,7,8.526207797,0.99978397,-2.7897566,10
0.00072371,0.66197383,0.10013645,0.02228992,600091,1,8.503811231,0.55530137,-0.26782277,18
0.009411601,0.60649781,0.06133848,0.023753805,600093,7,8.719404218,0.6968609,0.31608372,17
-0.003822129,0.96268648,0.086163375,0.024596799,600094,18,7.789288134,0.73207667,1.5698494,3
0.004906029,0.75882018,0.11071672,0.025586417,600095,7,8.446337651,0.58478866,0.001328695,22
-0.001726613,0.66982803,-0.067783711,-0.010075954,600096,10,8.471660033,0.84433113,-4.787942,23
-0.006520124,0.69130675,0.074837316,0.01907441,600097,12,7.07954246,0.67065713,0.82817773,26
0.00589331,0.61075167,0.11348178,0.010832239,600098,10,8.799724858,0.52218242,0.65330598,7
-0.002870736,0.84331957,0.13610216,0.030983338,600099,15,8.022765976,0.80086588,0.14574534,2
0.006297697,0.6342587,0.12254956,0.015043842,600100,12,9.185167835,0.63738222,0.31701963,18
0.003538573,0.74415446,0.009027345,0.016853695,600101,9,8.174774232,0.42838971,-0.37665314,14
0.008645332,0.4378607,0.37373479,0.000615886,600102,6,8.362935619,1.0903348,4.8208195,13
0.002818632,0.63233917,0.16246934,0.017032702,600103,10,9.382064389,0.5864112,0.86082031,17
0.001884131,0.79219361,0.16085266,0.006380603,600104,15,9.616178144,0.57787723,-0.13678771,7
0.002177244,0.71788491,0.089785329,0.025178099,600105,14,8.207500056,0.56599014,-0.004335228,25
0.00748527,0.4745137,0.11518651,0.012814543,600106,4,8.519223908,0.6525061,1.0661475,4
0.007304907,0.89584058,0.098059675,0.015709968,600107,1,8.735536456,0.56876207,0.99718325,24
-0.003684206,0.77812869,0.13680016,0.026856276,600108,21,9.874004569,0.71985317,0.82641663,18
0.016125467,1.2570615,0.025567495,0.005783381,600109,11,7.94075697,0.7056282,1.1515887,6
0.008677042,0.89648317,0.10999041,0.019964536,600110,9,9.063544109,0.72161689,0.33737703,10
-0.8128019,3.0249526,5.4808061,0.57136511,600111,10,9.007328732,73.99228,10.196292,28
-0.003320576,0.62397345,0.13841973,0.026192479,600112,11,7.944562055,0.69897196,0.33143208,23
